Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_mirror_reorder_buf_shell_150x448,mirror_reorder_buf,mce,1r1w,RF,1225,150,458,ECC,10,458,1,No,1,448,448,448,RF,150,,0,0,0,0,1,1,1,
mem_msh_bank_ram_shell_4096x532,msh_bank_ram,msh,1rw,SRAM,1800,4096,532,None,0,532,4,No,1,,532,532,SRAM,4096,133,0,0,0,0,1,1,4,saduls0g4l1p4096x133m4b4w0c0p0d0l2rm3sdrw01
mem_msh_bank_ram_shell_4096x552,msh_bank_ram,msh,1rw,SRAM,1800,4096,552,None,0,552,1,No,1,,552,552,SRAM,4096, 69,0,0,0,0,1,1,8,saduls0g4l1p4096x69m4b4w0c0p1d0l2rm3sdrw01
mem_nh_config_shell_1x64,nh_config,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_nh_flood_glort_table_shell_256x64,nh_flood_glort_table,action,1rw,RF,1225,256,72,ECC,8,72,1,No,1,64,64,64,RF,256,,0,0,0,0,1,1,1,
mem_nh_fwd_hashing_cfg_shell_1x64,nh_fwd_hashing_cfg,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_nh_group_min_shell_512x64,nh_group_min,action,1rw,SRAM,1225,512,72,ECC,8,72,1,No,1,64,64,64,SRAM,512,,0,0,0,0,1,1,1,
mem_nh_groups_shell_4096x128,nh_groups,action,1rw,SRAM,1225,4096,144,ECC,16,144,1,No,1,64,128,128,SRAM,4096,,0,0,0,0,1,1,1,
mem_nh_ingress_vid_table_shell_4096x64,nh_ingress_vid_table,action,1rw,SRAM,1225,4096,72,ECC,8,72,1,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_nh_mtu_table_shell_8x64,nh_mtu_table,action,1r1w,FLOPS,1225,8,72,ECC,8,72,1,No,1,64,64,64,FLOPS,8,,0,0,0,0,1,1,1,
mem_nh_neighbors_shell_16384x128,nh_neighbors,action,1rw,SRAM,1225,16384,144,ECC,16,144,1,No,1,64,128,128,SRAM,16384,,0,0,0,0,1,1,1,
